seed,epoch,model,split,loss,accuracy,hidden_spike_rate,train_time_s,sparsity
7,1,ANN,train,0.9458175999323527,0.69325,,2.3587563233450055,
7,1,ANN,test,0.6716642971038819,0.769,,0.0,0.2561093752384186
7,1,CNN,train,0.9836758975982666,0.66875,,1.516397150233388,
7,1,CNN,test,0.6312107114791871,0.77,,0.0,0.48005078148841857
7,1,SNN,train,1.3244121607144674,0.5458333333333333,0.20455087872346242,3.9446959123015404,
7,1,SNN,test,0.986244987487793,0.6675,0.20908105647563935,0.0,
7,2,ANN,train,0.5574716534614563,0.8143333333333334,,0.8216714588925242,
7,2,ANN,test,0.5777377181053162,0.7945,,0.0,0.2573164060115814
7,2,CNN,train,0.5538833607037862,0.7914166666666667,,1.2817292539402843,
7,2,CNN,test,0.5324059209823608,0.8005,,0.0,0.49083203077316284
7,2,SNN,train,0.9147045180002848,0.6804166666666667,0.2107646815776825,3.6103748735040426,
7,2,SNN,test,0.9609557304382325,0.695,0.2056015634536743,0.0,
7,3,ANN,train,0.4873934186299642,0.83675,,3.425306336954236,
7,3,ANN,test,0.5378838338851929,0.8105,,0.0,0.27065234375
7,3,CNN,train,0.4776172632376353,0.8263333333333334,,1.1592974485829473,
7,3,CNN,test,0.4688925876617432,0.831,,0.0,0.48489453172683716
7,3,SNN,train,0.8546784653663635,0.6978333333333333,0.20926718775431316,3.6473695067688823,
7,3,SNN,test,0.8876971817016601,0.688,0.21020292949676514,0.0,
7,4,ANN,train,0.4490723833243052,0.84525,,0.8224335927516222,
7,4,ANN,test,0.5194261827468872,0.8175,,0.0,0.27755468726158145
7,4,CNN,train,0.42947714765866596,0.8473333333333334,,1.1317761652171612,
7,4,CNN,test,0.45988834857940675,0.8365,,0.0,0.49821093726158144
7,4,SNN,train,0.7294320866266887,0.7379166666666667,0.20585813816388449,3.7446669805794954,
7,4,SNN,test,0.7092715191841126,0.756,0.20687617349624635,0.0,
7,5,ANN,train,0.41978336397806804,0.859,,0.816509835422039,
7,5,ANN,test,0.5028749899864197,0.8315,,0.0,0.2803984372615814
7,5,CNN,train,0.3831304318904877,0.8651666666666666,,1.1379847433418036,
7,5,CNN,test,0.4515199117660523,0.826,,0.0,0.5007773442268372
7,5,SNN,train,0.48632951474189756,0.8293333333333334,0.20616282566388447,3.6056586876511574,
7,5,SNN,test,0.5264498624801636,0.8145,0.20662500178813933,0.0,
7,6,ANN,train,0.3978839387893677,0.8665833333333334,,0.8502918696030974,
7,6,ANN,test,0.5076932454109192,0.815,,0.0,0.28095703148841855
7,6,CNN,train,0.36042745780944824,0.8716666666666667,,1.1528902472928166,
7,6,CNN,test,0.4162818560600281,0.848,,0.0,0.5112031254768371
7,6,SNN,train,0.4100429117679596,0.8523333333333334,0.20644944604237875,3.622216966934502,
7,6,SNN,test,0.5346707653999329,0.8245,0.20900390779972075,0.0,
7,7,ANN,train,0.38702564374605813,0.8660833333333333,,1.0071036936715245,
7,7,ANN,test,0.46847925329208373,0.839,,0.0,0.29327734375
7,7,CNN,train,0.33300043201446533,0.88425,,1.080229476094246,
7,7,CNN,test,0.4055880889892578,0.844,,0.0,0.5023007807731629
7,7,SNN,train,0.387999439795812,0.86125,0.20782848254839578,3.8256801599636674,
7,7,SNN,test,0.5743374395370483,0.8125,0.20398378837108613,0.0,
7,8,ANN,train,0.368714782555898,0.8694166666666666,,0.9373085955157876,
7,8,ANN,test,0.4627913308143616,0.8415,,0.0,0.2945429689884186
7,8,CNN,train,0.31958641624450684,0.8843333333333333,,1.0661913231015205,
7,8,CNN,test,0.39748738312721255,0.854,,0.0,0.5198203134536743
7,8,SNN,train,0.369670034011205,0.8664166666666666,0.20464915398756664,3.7961419485509396,
7,8,SNN,test,0.5341286101341247,0.82,0.20592656469345091,0.0,
7,9,ANN,train,0.3549446623325348,0.8804166666666666,,0.9840679988265038,
7,9,ANN,test,0.4846172876358032,0.8415,,0.0,0.30729296875
7,9,CNN,train,0.2978919090429942,0.89325,,1.1024831095710397,
7,9,CNN,test,0.3708246605396271,0.865,,0.0,0.5132890629768372
