epoch,model,split,loss,accuracy,hidden_spike_rate
1,ANN,train,0.8756940515041352,0.8046666666666666,
1,ANN,test,0.3687057077884674,0.902,
1,SNN,train,0.6705769136746724,0.7846666666666666,0.13196806653340656
1,SNN,test,0.26515270948410036,0.9185,0.14753906273841857
2,ANN,train,0.35632310195763905,0.9004166666666666,
2,ANN,test,0.2919477801322937,0.9165,
2,SNN,train,0.2237884228626887,0.936,0.1452927086353302
2,SNN,test,0.20127604222297668,0.9415,0.15122167778015136
3,ANN,train,0.2911067362626394,0.9174166666666667,
3,ANN,test,0.26749210953712466,0.9165,
3,SNN,train,0.1576776229540507,0.9524166666666667,0.15693115266164143
3,SNN,test,0.17363989698886872,0.95,0.15793417942523957
