seed,epoch,model,split,loss,accuracy,hidden_spike_rate,train_time_s,sparsity
7,1,ANN,train,1.0491399547259013,0.71,,7.510730002075434,
7,1,ANN,test,1.0565878677368163,0.6685,,0.0,0.1936171875
7,1,CNN,train,1.0634852646191915,0.6811666666666667,,5.2731451047584414,
7,1,CNN,test,1.0460320158004761,0.692,,0.0,0.4450703125
7,1,SNN,train,1.6816498775482178,0.3839166666666667,0.16335644523302714,3.719080612063408,
7,1,SNN,test,1.5254933719635009,0.4515,0.17807246196269988,0.0,
7,2,ANN,train,0.5791897702217103,0.8283333333333334,,1.3860361920669675,
7,2,ANN,test,0.8731053233146667,0.732,,0.0,0.24064843726158142
7,2,CNN,train,0.4710681340297063,0.8551666666666666,,1.3216822007670999,
7,2,CNN,test,0.6918584084510804,0.795,,0.0,0.49220312547683714
7,2,SNN,train,0.9619498642285665,0.6615,0.18473795485496522,4.635136887431145,
7,2,SNN,test,1.2350180616378785,0.5855,0.1701466785669327,0.0,
7,3,ANN,train,0.4669507364432017,0.8618333333333333,,1.0338486386463046,
7,3,ANN,test,0.803870575428009,0.76,,0.0,0.27520703077316283
7,3,CNN,train,0.2962256364027659,0.91075,,1.1049303254112601,
7,3,CNN,test,0.5811299200057983,0.833,,0.0,0.5062812490463257
7,3,SNN,train,0.6647551733652751,0.77325,0.17938912709554036,3.9152120742946863,
7,3,SNN,test,1.0895373187065125,0.662,0.16890566420555114,0.0,
7,4,ANN,train,0.39349610710144045,0.8845,,0.7849167268723249,
7,4,ANN,test,0.7250900797843933,0.779,,0.0,0.29792578077316284
7,4,CNN,train,0.21577855519453684,0.9369166666666666,,1.1329604154452682,
7,4,CNN,test,0.4619545271396637,0.8705,,0.0,0.5201523432731628
7,4,SNN,train,0.40934794139862063,0.8708333333333333,0.17818766224384308,3.5569233559072018,
7,4,SNN,test,0.9206997303962707,0.706,0.17291113328933716,0.0,
7,5,ANN,train,0.34002370468775434,0.9039166666666667,,0.9794595697894692,
7,5,ANN,test,0.6980682501792908,0.7855,,0.0,0.3099882817268372
7,5,CNN,train,0.16462778707345327,0.9536666666666667,,1.136565645225346,
7,5,CNN,test,0.44399811124801636,0.8775,,0.0,0.5317382822036744
7,5,SNN,train,0.3338476779460907,0.8944166666666666,0.1795700515906016,3.56126076169312,
7,5,SNN,test,0.874806441783905,0.725,0.17169394838809968,0.0,
7,6,ANN,train,0.29788049157460533,0.9159166666666667,,0.9499163888394833,
7,6,ANN,test,0.6986673283576965,0.786,,0.0,0.3195390625
7,6,CNN,train,0.12939438887437185,0.9618333333333333,,1.1324927899986506,
7,6,CNN,test,0.4183913309574127,0.883,,0.0,0.5393906240463257
7,6,SNN,train,0.28019084032376607,0.9123333333333333,0.1808455400466919,3.6898365588858724,
7,6,SNN,test,0.7948696513175965,0.7495,0.17298046910762788,0.0,
7,7,ANN,train,0.26296263496081035,0.9304166666666667,,0.808914503082633,
7,7,ANN,test,0.6569676485061645,0.8,,0.0,0.3292499997615814
7,7,CNN,train,0.09989755976200104,0.9721666666666666,,1.2661984097212553,
7,7,CNN,test,0.3805236370563507,0.8975,,0.0,0.5474374995231629
7,7,SNN,train,0.24485243900616963,0.9215,0.1808559569120407,3.7808586079627275,
7,7,SNN,test,0.8355031929016113,0.7575,0.17441464722156524,0.0,
7,8,ANN,train,0.2333789743979772,0.9385833333333333,,0.8727070223540068,
7,8,ANN,test,0.6355218935012817,0.801,,0.0,0.33351171875
7,8,CNN,train,0.0822498113711675,0.9788333333333333,,1.233967863023281,
7,8,CNN,test,0.3927226779460907,0.8905,,0.0,0.557984375
7,8,SNN,train,0.22066496288776397,0.9288333333333333,0.17888691484928132,3.8546284520998597,
